,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
ZIP,"NATIVE
AMERICAN",ASIAN,BLACK,PACIFIC ISLANDER,WHITE,"MULTI
RACE","UNK /
MISSING","
HISPANIC","NON
HISPANIC","UNK /
MISSING","WITH
EARNED $","W/ ONLY
EARNED $"
76439,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76442,0.48%,0.10%,0.58%,0.00%,56.47%,0.00%,42.47%,47.30%,46.81%,5.89%,49.54%,45.90%
76443,2.11%,0.53%,0.00%,0.00%,91.05%,0.00%,5.79%,6.84%,89.47%,3.16%,40.54%,37.84%
76444,0.42%,0.21%,1.04%,0.00%,64.79%,0.00%,33.33%,37.50%,58.54%,4.17%,41.30%,38.04%
76445,0.00%,0.00%,0.00%,0.00%,74.29%,0.00%,25.71%,25.71%,68.57%,5.71%,30.77%,30.77%
76446,0.27%,0.21%,1.03%,0.07%,48.38%,0.00%,50.03%,50.58%,42.06%,7.42%,50.68%,47.50%
76447,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,75.00%,100.00%,0.00%,0.00%,0.00%,0.00%
76448,0.65%,0.13%,2.75%,0.00%,70.94%,0.13%,25.39%,24.48%,69.76%,5.76%,44.48%,41.38%
76449,0.51%,1.02%,1.02%,0.00%,83.76%,0.00%,14.21%,15.23%,80.20%,4.57%,32.05%,30.77%
76450,0.27%,0.41%,2.41%,0.00%,70.38%,0.14%,26.46%,28.80%,64.74%,6.46%,46.08%,42.45%
76452,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,33.33%,100.00%,0.00%,0.00%,100.00%,100.00%
76453,0.00%,0.00%,0.00%,0.00%,78.95%,0.00%,21.05%,19.30%,77.19%,5.26%,38.10%,38.10%
76454,0.00%,1.29%,0.43%,0.00%,75.43%,0.00%,22.84%,28.45%,66.81%,4.74%,42.67%,40.00%
76455,0.00%,0.00%,0.00%,0.00%,40.67%,0.00%,59.33%,61.33%,33.33%,5.33%,52.63%,47.37%
76457,0.57%,0.00%,1.42%,0.00%,79.49%,0.00%,18.80%,25.36%,70.09%,4.56%,50.41%,42.98%
76458,0.00%,0.00%,2.19%,0.00%,74.06%,0.16%,23.75%,27.97%,64.69%,7.50%,46.46%,42.48%
76459,0.00%,0.00%,0.00%,0.00%,90.00%,0.00%,0.00%,0.00%,90.00%,0.00%,50.00%,25.00%
76460,0.00%,0.00%,0.00%,0.00%,90.24%,0.00%,9.76%,7.32%,85.37%,7.32%,28.57%,28.57%
76461,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
76462,0.00%,0.00%,1.77%,0.00%,71.68%,0.00%,25.66%,23.89%,69.03%,7.08%,40.00%,35.56%
76463,0.00%,0.00%,0.00%,0.00%,92.00%,0.00%,8.00%,4.00%,92.00%,8.00%,35.71%,35.71%
76464,0.00%,0.00%,0.00%,0.00%,83.93%,0.00%,16.07%,10.71%,80.36%,7.14%,26.32%,26.32%
76465,0.00%,0.00%,0.00%,0.00%,88.24%,0.00%,11.76%,5.88%,82.35%,11.76%,50.00%,50.00%
76466,0.00%,0.00%,0.00%,0.00%,77.78%,0.00%,22.22%,22.22%,77.78%,0.00%,44.44%,44.44%
76467,0.00%,0.00%,0.00%,5.88%,47.06%,0.00%,47.06%,64.71%,35.29%,0.00%,100.00%,100.00%
76468,0.00%,0.00%,0.00%,0.00%,77.78%,0.00%,22.22%,18.52%,66.67%,11.11%,33.33%,22.22%
76469,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76470,0.66%,0.33%,2.98%,0.00%,73.06%,0.17%,23.14%,18.51%,73.06%,8.60%,40.61%,37.99%
76471,1.67%,0.00%,0.00%,0.00%,77.78%,0.00%,20.56%,13.33%,76.67%,9.44%,40.00%,35.71%
76472,1.94%,0.00%,3.88%,0.00%,70.87%,0.00%,24.27%,21.36%,73.79%,5.83%,44.12%,38.24%
76474,0.00%,0.00%,0.00%,0.00%,80.49%,0.00%,19.51%,21.95%,78.05%,0.00%,54.55%,54.55%
76475,0.00%,0.00%,7.06%,0.00%,51.76%,0.00%,41.18%,44.71%,48.24%,7.06%,48.15%,48.15%
76476,0.00%,0.00%,1.53%,0.00%,87.24%,0.00%,11.22%,6.12%,87.24%,6.63%,37.50%,36.11%
76481,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,5.88%,37.50%,25.00%
76483,0.00%,0.00%,2.20%,0.00%,84.62%,0.00%,13.19%,9.89%,83.52%,6.59%,34.29%,31.43%
76484,1.69%,0.00%,0.00%,0.00%,77.97%,0.00%,20.34%,23.73%,74.58%,1.69%,33.33%,33.33%
76485,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76486,0.00%,0.00%,1.79%,0.00%,73.21%,0.00%,25.89%,18.75%,73.21%,8.04%,42.42%,39.39%
76487,0.00%,0.57%,0.57%,0.00%,81.03%,0.00%,17.82%,17.82%,76.44%,5.17%,44.26%,42.62%
76490,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,33.33%,33.33%
76491,0.00%,0.00%,0.00%,0.00%,78.85%,0.00%,21.15%,11.54%,80.77%,9.62%,38.89%,38.89%
76494,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,100.00%,0.00%,0.00%,100.00%,100.00%
76501,0.60%,0.31%,29.52%,0.05%,39.98%,0.10%,29.45%,34.36%,55.61%,10.02%,39.76%,36.88%
76502,0.50%,0.80%,24.67%,0.30%,53.02%,0.33%,20.42%,23.01%,67.04%,9.95%,40.11%,37.04%
76503,0.00%,4.55%,18.18%,0.00%,54.55%,0.00%,22.73%,27.27%,68.18%,4.55%,20.00%,20.00%
76504,0.44%,0.44%,25.57%,0.17%,43.85%,0.29%,29.23%,34.08%,56.59%,9.31%,44.96%,42.14%
76505,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76508,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76510,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%
76511,0.42%,0.00%,15.97%,0.42%,54.20%,0.00%,28.99%,44.12%,48.32%,7.98%,43.66%,40.85%
76513,0.39%,0.64%,8.35%,0.08%,59.65%,0.17%,30.72%,37.51%,53.50%,8.99%,46.13%,42.92%
76517,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,66.67%,100.00%,0.00%,0.00%,100.00%,100.00%
76518,0.00%,0.00%,1.56%,0.00%,65.37%,0.00%,33.07%,59.53%,35.02%,5.45%,50.00%,46.15%
76519,1.47%,0.00%,5.88%,0.00%,75.00%,0.00%,17.65%,50.00%,45.59%,5.88%,45.45%,40.91%
76520,0.16%,0.00%,26.16%,0.11%,50.70%,0.05%,22.87%,40.18%,53.34%,6.47%,36.43%,34.04%
76522,0.91%,1.86%,26.98%,1.51%,50.89%,0.71%,17.19%,15.21%,75.30%,9.50%,44.26%,40.93%
76523,0.00%,0.00%,38.89%,0.00%,38.89%,0.00%,22.22%,27.78%,66.67%,5.56%,42.86%,28.57%
76524,0.81%,1.08%,2.69%,0.00%,63.71%,0.00%,31.45%,35.75%,55.91%,8.33%,38.89%,37.30%
76525,0.00%,0.00%,6.32%,0.00%,64.21%,0.00%,28.42%,26.32%,64.21%,9.47%,50.00%,46.88%
76526,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%,50.00%,0.00%,100.00%,100.00%
76527,0.17%,0.66%,1.99%,0.33%,76.32%,0.33%,20.36%,49.67%,44.87%,5.46%,53.85%,50.55%
76528,0.75%,1.37%,6.20%,0.09%,72.36%,0.18%,19.00%,17.63%,73.47%,8.90%,44.23%,40.42%
76530,0.37%,0.74%,7.81%,0.00%,65.80%,0.37%,25.28%,41.64%,49.44%,8.92%,40.20%,36.27%
76531,0.32%,0.32%,0.32%,0.00%,87.00%,0.16%,11.89%,12.68%,80.35%,6.97%,40.07%,36.33%
76533,0.00%,0.00%,12.50%,0.00%,50.00%,0.00%,37.50%,62.50%,37.50%,12.50%,33.33%,33.33%
76534,0.00%,0.29%,6.12%,0.00%,70.55%,0.00%,23.03%,27.70%,62.68%,9.62%,40.18%,38.39%
76537,0.35%,0.18%,4.61%,0.18%,73.23%,0.00%,21.63%,46.63%,47.34%,6.03%,52.54%,49.15%
76538,0.00%,0.00%,0.00%,0.00%,60.53%,0.00%,39.47%,47.37%,42.11%,7.89%,42.86%,35.71%
76539,0.54%,0.36%,5.79%,0.36%,75.23%,0.36%,17.54%,17.36%,72.51%,10.31%,36.36%,32.32%
76540,0.00%,2.00%,50.00%,2.00%,30.00%,2.00%,16.00%,12.00%,80.00%,8.00%,23.08%,19.23%
76541,0.45%,1.85%,35.23%,1.17%,34.03%,0.45%,26.83%,29.24%,60.30%,10.46%,47.08%,43.72%
76542,0.82%,2.19%,44.95%,1.08%,28.77%,0.72%,21.48%,21.19%,67.90%,10.93%,42.99%,39.27%
76543,0.58%,1.87%,49.48%,0.96%,25.40%,0.50%,21.20%,19.91%,69.74%,10.36%,45.73%,41.55%
76544,0.23%,1.64%,32.32%,3.75%,45.67%,0.47%,15.93%,19.67%,75.18%,5.15%,52.34%,51.40%
76545,0.00%,0.00%,0.00%,0.00%,80.00%,0.00%,20.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76546,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,100.00%,0.00%,0.00%,100.00%,100.00%
76547,0.00%,0.00%,80.00%,0.00%,0.00%,0.00%,0.00%,0.00%,60.00%,20.00%,50.00%,50.00%
76548,0.82%,1.44%,28.68%,1.65%,42.33%,0.55%,24.53%,24.95%,64.87%,10.17%,48.04%,45.02%
76549,0.84%,2.02%,50.13%,1.61%,25.25%,0.59%,19.56%,18.96%,70.42%,10.60%,43.81%,39.76%
76550,0.06%,0.61%,3.01%,0.22%,70.06%,0.17%,25.88%,29.88%,61.10%,9.02%,44.51%,41.69%
76552,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76554,0.00%,0.32%,2.22%,0.00%,73.02%,0.00%,24.13%,28.57%,63.49%,7.94%,50.48%,47.62%
76556,0.00%,0.00%,10.40%,0.00%,71.20%,0.00%,18.40%,22.40%,71.60%,6.00%,30.34%,28.09%
76557,1.38%,0.20%,12.38%,0.00%,63.46%,0.00%,22.59%,24.95%,66.40%,8.64%,38.07%,34.09%
76558,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76559,0.56%,1.25%,17.92%,0.28%,52.08%,0.69%,27.36%,24.86%,63.75%,11.39%,42.74%,40.17%
76561,1.40%,1.40%,0.70%,0.00%,70.63%,0.00%,25.87%,29.37%,65.03%,6.29%,39.53%,34.88%
76564,0.00%,0.00%,10.53%,0.00%,42.11%,0.00%,47.37%,47.37%,47.37%,5.26%,14.29%,14.29%
76565,0.00%,0.00%,11.11%,0.00%,77.78%,0.00%,11.11%,11.11%,77.78%,11.11%,0.00%,0.00%
76566,0.00%,0.00%,0.00%,0.00%,77.78%,0.00%,22.22%,27.78%,72.22%,5.56%,28.57%,28.57%
76567,0.95%,0.06%,17.68%,0.06%,56.12%,0.06%,25.01%,38.08%,54.82%,7.10%,37.12%,34.60%
76569,0.22%,0.22%,4.31%,0.00%,63.79%,0.00%,31.68%,37.50%,53.66%,8.84%,37.42%,34.84%
76570,0.50%,0.00%,22.50%,0.25%,51.25%,0.00%,25.75%,29.25%,64.50%,6.25%,42.57%,37.84%
76571,1.29%,0.26%,1.81%,0.26%,67.70%,0.26%,28.42%,33.59%,57.11%,9.30%,44.20%,42.03%
76572,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76573,0.00%,0.00%,0.00%,0.00%,54.55%,0.00%,45.45%,54.55%,27.27%,18.18%,25.00%,25.00%
76574,0.30%,0.33%,14.23%,0.16%,54.56%,0.16%,30.25%,53.87%,36.74%,9.39%,44.81%,42.39%
76577,0.00%,0.00%,4.56%,0.00%,75.24%,0.00%,20.52%,31.60%,64.82%,3.58%,36.75%,34.19%
76578,0.54%,0.54%,10.75%,0.00%,64.52%,0.00%,23.66%,41.94%,48.92%,9.14%,43.75%,42.19%
76579,0.00%,0.53%,2.28%,0.18%,78.07%,0.53%,18.25%,21.05%,70.35%,8.42%,39.18%,36.08%
76583,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76601,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76605,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76607,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76610,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76621,0.00%,0.00%,1.37%,0.00%,83.56%,0.00%,15.07%,9.59%,79.45%,10.96%,46.43%,42.86%
76622,0.00%,0.00%,6.59%,0.00%,80.22%,0.00%,14.29%,14.29%,80.22%,6.59%,42.42%,36.36%
76623,0.00%,0.00%,17.24%,0.00%,55.17%,0.00%,31.03%,34.48%,65.52%,0.00%,45.45%,45.45%
76624,0.00%,0.49%,4.88%,0.98%,77.07%,0.00%,16.59%,15.61%,76.59%,7.80%,42.67%,37.33%
76626,0.00%,0.49%,9.36%,0.00%,78.33%,0.00%,12.32%,9.85%,85.22%,4.93%,41.79%,38.81%
76627,0.00%,0.00%,1.02%,0.00%,87.37%,0.00%,11.60%,7.85%,84.64%,7.51%,36.08%,34.02%
76628,0.00%,0.00%,7.14%,0.00%,57.14%,0.00%,28.57%,50.00%,50.00%,0.00%,50.00%,50.00%
76629,0.00%,0.40%,33.20%,0.00%,56.52%,0.00%,9.49%,9.09%,82.21%,8.70%,28.97%,28.97%
76630,1.01%,0.00%,3.54%,0.00%,78.79%,0.00%,17.17%,16.67%,75.25%,8.08%,40.54%,35.14%
76631,0.00%,0.00%,12.90%,0.00%,74.19%,0.00%,16.13%,12.90%,77.42%,9.68%,33.33%,33.33%
76632,0.00%,0.00%,18.25%,0.00%,44.31%,0.24%,37.44%,54.74%,41.23%,4.27%,44.93%,40.58%
76633,0.89%,0.00%,2.38%,0.00%,78.27%,0.00%,18.45%,11.90%,80.65%,7.44%,49.58%,46.22%
76634,0.84%,0.96%,6.26%,0.00%,70.28%,0.00%,21.78%,25.15%,67.03%,7.82%,43.40%,40.57%
76635,0.00%,0.00%,30.87%,0.00%,45.64%,0.00%,23.49%,34.90%,56.04%,8.72%,43.16%,38.95%
76636,0.00%,0.00%,0.57%,0.00%,89.66%,0.00%,9.20%,6.32%,85.63%,7.47%,30.30%,28.79%
76637,0.00%,0.00%,0.00%,0.00%,81.82%,0.00%,18.18%,16.88%,76.62%,6.49%,44.83%,44.83%
76638,0.00%,0.00%,2.24%,0.00%,81.34%,0.00%,17.16%,14.18%,79.10%,6.72%,46.81%,40.43%
76639,0.88%,0.00%,13.22%,0.00%,71.81%,0.00%,14.10%,16.74%,76.65%,6.17%,30.77%,27.47%
76640,0.24%,0.71%,6.35%,0.00%,71.06%,0.00%,21.65%,22.12%,66.82%,11.29%,39.38%,36.88%
76641,1.97%,0.00%,3.94%,0.00%,74.41%,0.00%,19.69%,25.98%,68.50%,5.51%,37.21%,36.05%
76642,0.48%,0.19%,22.02%,0.10%,55.87%,0.00%,21.44%,24.54%,67.90%,7.57%,39.56%,37.91%
76643,0.46%,2.43%,17.50%,0.23%,58.29%,0.12%,21.09%,19.00%,71.73%,9.27%,43.85%,42.27%
76644,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76645,0.17%,0.22%,17.65%,0.04%,49.85%,0.04%,32.03%,46.23%,46.80%,6.97%,50.51%,47.44%
76648,0.00%,0.26%,26.67%,0.00%,61.03%,0.26%,12.05%,9.74%,83.33%,6.92%,35.25%,31.65%
76649,0.00%,0.00%,0.00%,0.00%,73.85%,0.00%,24.62%,30.77%,64.62%,3.08%,28.00%,24.00%
76650,0.00%,0.00%,12.50%,0.00%,62.50%,0.00%,25.00%,25.00%,62.50%,25.00%,33.33%,33.33%
76651,0.44%,0.00%,29.05%,0.00%,52.11%,0.00%,18.63%,18.18%,75.39%,6.65%,33.90%,32.20%
76652,0.00%,0.00%,1.20%,0.00%,85.54%,0.00%,13.25%,11.45%,81.33%,7.23%,27.54%,26.09%
76653,0.77%,0.00%,14.62%,0.00%,74.62%,0.00%,10.00%,16.92%,77.69%,6.15%,41.67%,37.50%
76654,0.00%,0.00%,12.50%,0.00%,75.00%,0.00%,12.50%,0.00%,100.00%,0.00%,28.57%,28.57%
76655,0.19%,0.38%,4.51%,0.00%,75.19%,0.19%,19.55%,19.55%,72.18%,8.27%,40.00%,36.92%
76656,0.43%,0.43%,16.24%,0.43%,57.69%,0.00%,24.79%,24.36%,67.95%,7.69%,31.52%,27.17%
76657,0.08%,0.40%,7.05%,0.08%,52.80%,0.00%,39.58%,49.12%,44.39%,6.49%,52.79%,50.25%
76660,0.00%,0.00%,17.24%,0.00%,58.62%,0.00%,24.14%,18.97%,68.97%,12.07%,34.78%,30.43%
76661,0.12%,0.12%,52.57%,0.06%,24.54%,0.00%,22.54%,22.24%,67.96%,9.73%,37.55%,33.92%
76664,0.85%,0.00%,33.05%,0.00%,48.98%,0.34%,16.61%,8.47%,80.17%,11.36%,37.62%,34.76%
76665,0.67%,0.00%,11.11%,0.00%,60.22%,0.00%,28.22%,38.44%,55.56%,6.00%,49.67%,47.68%
76666,0.00%,0.00%,0.00%,0.00%,77.78%,0.00%,22.22%,33.33%,61.11%,5.56%,33.33%,33.33%
76667,0.09%,0.05%,31.15%,0.00%,43.03%,0.05%,25.68%,31.42%,61.02%,7.60%,44.04%,41.06%
76670,0.45%,0.45%,26.58%,0.00%,54.95%,0.00%,18.02%,18.92%,76.13%,5.41%,31.58%,28.95%
76671,0.00%,0.00%,3.21%,0.00%,73.57%,0.00%,22.50%,28.93%,65.36%,5.36%,27.97%,26.27%
76673,0.00%,0.00%,8.13%,0.00%,69.11%,0.00%,21.95%,17.89%,72.36%,8.94%,48.78%,41.46%
76676,0.00%,0.00%,2.70%,0.00%,78.38%,0.00%,21.62%,18.92%,75.68%,5.41%,38.46%,38.46%
76678,0.00%,0.00%,5.00%,0.00%,85.00%,0.00%,12.50%,5.00%,90.00%,7.50%,50.00%,42.86%
76679,0.43%,0.00%,4.76%,0.00%,83.98%,0.00%,10.82%,6.06%,85.28%,8.23%,35.37%,30.49%
76680,4.55%,0.00%,22.73%,0.00%,40.91%,0.00%,36.36%,40.91%,54.55%,4.55%,57.14%,57.14%
76681,0.00%,2.47%,6.17%,0.00%,54.32%,0.00%,35.80%,29.63%,59.26%,11.11%,27.59%,27.59%
76682,0.00%,0.00%,6.57%,0.35%,70.24%,0.35%,22.49%,19.72%,70.24%,10.03%,44.90%,40.82%
76684,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,80.00%,80.00%,20.00%,0.00%,100.00%,100.00%
76685,0.00%,0.00%,54.55%,0.00%,36.36%,0.00%,9.09%,0.00%,81.82%,9.09%,75.00%,75.00%
76686,0.00%,0.00%,6.67%,0.00%,83.33%,0.00%,6.67%,3.33%,86.67%,13.33%,50.00%,50.00%
76687,0.00%,0.00%,7.14%,0.00%,75.32%,1.95%,15.58%,9.09%,83.12%,7.14%,30.77%,24.62%
76689,0.30%,0.30%,5.17%,0.00%,70.52%,0.00%,23.71%,22.19%,69.60%,8.21%,45.79%,43.93%
76690,0.44%,0.00%,1.75%,0.00%,62.72%,0.00%,35.53%,39.47%,51.75%,8.77%,48.72%,47.44%
76691,1.05%,0.18%,6.84%,0.35%,70.53%,0.00%,21.05%,21.40%,72.46%,6.14%,42.52%,39.25%
76692,0.46%,0.20%,6.43%,0.07%,77.89%,0.00%,14.96%,11.35%,79.79%,8.86%,38.62%,35.08%
76693,0.00%,0.33%,30.92%,0.00%,52.96%,0.00%,15.79%,13.49%,78.62%,7.89%,41.59%,36.28%
76701,0.00%,0.27%,21.51%,0.00%,40.32%,0.00%,37.63%,37.63%,50.54%,11.83%,45.81%,41.90%
76702,0.00%,0.00%,38.24%,0.00%,47.06%,0.00%,14.71%,14.71%,79.41%,8.82%,27.78%,27.78%
76703,0.00%,0.00%,33.33%,0.00%,41.67%,0.00%,33.33%,41.67%,50.00%,8.33%,28.57%,28.57%
76704,0.40%,0.17%,62.23%,0.03%,13.93%,0.10%,23.13%,18.03%,69.87%,12.10%,35.07%,32.80%
76705,0.22%,0.44%,24.54%,0.01%,45.73%,0.10%,28.95%,30.06%,60.19%,9.75%,45.66%,42.91%
76706,0.23%,0.88%,25.97%,0.10%,33.37%,0.08%,39.42%,44.90%,46.12%,8.99%,47.33%,44.64%
76707,0.16%,0.33%,29.28%,0.05%,26.87%,0.05%,43.28%,49.36%,41.03%,9.59%,47.35%,44.80%
76708,0.30%,0.50%,26.20%,0.07%,35.12%,0.05%,37.77%,41.95%,48.78%,9.25%,48.34%,45.61%
76709,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
76710,0.28%,0.77%,31.13%,0.03%,37.27%,0.08%,30.44%,31.63%,57.16%,11.18%,49.22%,46.04%
76711,0.24%,0.68%,12.64%,0.04%,36.50%,0.04%,49.86%,62.90%,29.86%,7.24%,53.06%,50.94%
76712,0.93%,2.41%,19.35%,0.08%,53.54%,0.00%,23.70%,24.79%,66.36%,8.94%,48.09%,45.55%
76714,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76715,0.00%,0.00%,54.55%,0.00%,27.27%,0.00%,18.18%,9.09%,90.91%,9.09%,50.00%,50.00%
76758,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76763,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%
76798,0.00%,0.00%,75.00%,0.00%,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,25.00%,25.00%
76800,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76801,0.22%,0.25%,6.93%,0.02%,66.59%,0.05%,25.93%,26.21%,66.64%,7.13%,44.67%,40.62%
76802,0.42%,0.00%,3.57%,0.00%,76.47%,0.00%,19.75%,18.28%,75.84%,5.88%,48.47%,41.72%
76803,0.00%,0.00%,0.00%,0.00%,80.00%,0.00%,20.00%,0.00%,80.00%,0.00%,100.00%,100.00%
76804,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,55.56%,55.56%,33.33%,0.00%,66.67%,66.67%
76805,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76806,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%
76812,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76821,0.25%,0.00%,3.33%,0.25%,55.98%,0.00%,40.07%,48.58%,44.88%,6.54%,48.70%,44.48%
76823,1.24%,0.00%,6.81%,0.00%,74.92%,0.00%,17.03%,18.27%,77.09%,4.64%,40.52%,37.93%
76824,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%
76825,0.43%,0.00%,3.64%,0.00%,64.96%,0.00%,30.88%,43.02%,50.04%,6.94%,46.39%,40.63%
76827,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,5.56%,5.56%,88.89%,5.56%,42.86%,42.86%
76828,0.00%,0.00%,0.00%,0.00%,87.50%,0.00%,12.50%,0.00%,87.50%,12.50%,37.50%,37.50%
76832,0.00%,0.00%,0.00%,0.00%,93.75%,0.00%,6.25%,6.25%,93.75%,0.00%,33.33%,33.33%
76834,0.29%,0.20%,4.51%,0.00%,74.12%,0.00%,20.78%,20.88%,71.67%,7.55%,40.71%,36.13%
76836,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,25.00%,50.00%,50.00%,0.00%,0.00%,0.00%
76837,0.00%,0.00%,0.59%,0.00%,71.18%,0.00%,27.65%,52.94%,40.00%,7.06%,54.55%,50.91%
76839,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
76841,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
76842,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,14.29%,71.43%,14.29%,20.00%,0.00%
76844,0.85%,0.28%,0.28%,0.00%,82.67%,0.00%,15.91%,29.26%,63.92%,6.53%,45.04%,40.46%
76845,0.00%,0.00%,0.00%,0.00%,92.31%,0.00%,7.69%,0.00%,84.62%,15.38%,50.00%,50.00%
76848,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76849,0.45%,0.45%,0.45%,0.00%,88.39%,0.00%,10.49%,43.08%,52.01%,4.91%,50.31%,47.17%
76852,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,66.67%,75.00%,25.00%,0.00%,40.00%,40.00%
76853,0.30%,0.91%,2.42%,0.00%,62.54%,0.00%,34.14%,47.43%,44.41%,8.46%,35.71%,31.25%
76854,0.00%,0.00%,0.00%,0.00%,89.29%,0.00%,10.71%,10.71%,78.57%,10.71%,22.22%,22.22%
76855,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
76856,0.62%,0.00%,0.62%,0.00%,71.38%,0.00%,27.38%,49.23%,44.92%,5.85%,54.29%,50.48%
76857,0.00%,0.00%,3.33%,0.00%,78.00%,0.00%,18.67%,19.33%,76.00%,4.67%,32.79%,27.87%
76858,0.00%,0.00%,3.45%,0.00%,75.86%,0.00%,24.14%,62.07%,37.93%,0.00%,60.00%,50.00%
76859,0.00%,0.45%,1.79%,0.00%,72.77%,0.00%,25.00%,42.86%,50.89%,6.25%,46.05%,43.42%
76861,0.00%,0.00%,0.00%,0.00%,45.45%,0.00%,53.54%,62.63%,33.33%,3.03%,63.33%,60.00%
76862,0.00%,0.00%,15.38%,0.00%,84.62%,0.00%,7.69%,7.69%,100.00%,0.00%,25.00%,25.00%
76864,0.00%,0.00%,0.00%,0.00%,86.89%,0.00%,13.11%,1.64%,83.61%,14.75%,50.00%,50.00%
76865,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,50.00%,33.33%,16.67%,33.33%,33.33%
76866,1.59%,0.00%,0.00%,0.00%,82.54%,0.00%,15.87%,14.29%,76.19%,9.52%,47.37%,42.11%
76869,0.00%,0.00%,0.00%,0.00%,83.33%,0.00%,16.67%,33.33%,83.33%,0.00%,0.00%,0.00%
